Id;ParentId;SortOrder;Published;Heading;Content
00000000-bc9c-4a13-8393-d8f2b261c159;00000000-4006-4d93-a1e5-03b070ed1911;20;1;Kursussted;"<p style=""text-align: center"">Kursussted <br /><br />Kursus i TS Nedre luftveje</p><p style=""text-align: center"">afholdes 27.-29. januar 2020</p><p style=""text-align: center"">p?</p><p style=""text-align: center"">Rigshospitalet</p><p style=""text-align: center"">Teilum bygningen,</p><p style=""text-align: center"">Store konferencerum, 4.sal.</p>"
00000000-6c52-4c96-9c95-677ff767629e;00000000-4006-4d93-a1e5-03b070ed1911;10;1;Velkomst;<p>K?re kursist.</p><p>Tiden n?rmer sig for afholdelse af 'Specialespecifikke kursus I Nedre luftveje', som afholdes 27. - 29. januar 2020 p? Rigshospitalet, Patologi afdelingen, 4.sal, store konferencerum</p><p>DPAS-hjemmesiden er nu klar og kan benyttes af jer alle. Virtuel kursus 'kasse' for s?vel non-maligne som maligne sygdomme i nedre luftveje er tilg?ngelige. </p><p>Jeg har p? tidligere kurser udsendt en v?vsblok som kursisterne selv skulle lave de relevante farvninger p? for at stille en diagnose og kursisterne skulle freml?gge resultatet p? kurset. Det har fungeret rigtig godt, men af forskellige ?rsager, kan dette ikke l?ngere lade sig g?re. I stedet f? i flg. opgave son forberedelse til kurset:</p><ul><li>Medbring et pr?parat p? kurset fra jeres afdeling. Det kan v?re et pr?parat med prim?r lunge cancer af en hvilken som helst type, eller en metastase til lungen fra en cancer udenfor thorax. Det kan v?re et operationspr?parat, en histologisk biopsi eller en cytologisk pr?ve. Det SKAL IKKE v?re en raritet, men allerhelst et 'standard' pr?parat. Mange af jer har ikke set s? mange lungepr?ver (nogle har m?ske aldrig set eet ?) og derfor m? det meget gerne v?re et 'let' tilg?ngelige pr?parater. Medbring gerne lille relevant sygehistorie. I skal p? kurset gennemg? pr?paratet ved mikroskop, og I har ca. 10 minutter til dette.</li><li>En del af jer er lige nu p? afdelinger hvor der diagnosticeres lunge pr?ver. Kontakt 'lunge teamet' og bed dem give jer et pr?parat, der lever op til ovenn?vnte beskrivelse. (jeg kontakter lungepatologerne i s?rskilt mail, s? de vil v?re orienterede).</li><li>Nogle af jer er lige pt p? afdelinger uden lunge pr?ver. Jeg ved ikke hvem af jer det er. Send mig en mail, s? finder jeg en l?sning p? dette ??</li></ul><p></p><p>Om non-neoplastiske sygdomme:<br />Det er et stort emneomr?de, hvor Karen Ege Olsen vil give en vejledning til systematisk tilgang og gennemg? udvalgte sygdomme indenfor:</p><ul><li>Interstitielle lungesygdomme</li><li>Granulomat?se forandringer</li><li>Rygerrelaterede forandringer</li><li>Infektioner</li><li>Amyloidose</li></ul><p>Besvarelse p? pr?parat 11-15 skal sendes til karen.ege.olsen@rsyd.dk senest d. 24. januar 2020. Derefter sender hun sine diagnoser samt PowerPoint til kurset.</p><p></p><p>Der vil blive serveret frokost alle dage. Endvidere vil der v?re kaffe og te ad libitum. Lidt til den s?de tand vil der nok ogs? v?re.</p><p>Er der noget, du er i tvivl om, er du meget velkommen til at kontakte mig.</p><p>Vi gl?der os til at se jer og vi h?ber I f?r et udbytterigt kursus.</p><p></p><p>God arbejdslyst ??.</p><p></p><p>Mange hilsner p? undervisernes vegne</p><p>Birgit Guldhammer Skov</p>
00000000-8d14-4f2d-b2cd-d3d40399b1f8;00000000-4006-4d93-a1e5-03b070ed1911;30;0;Kursusprogram;<div><strong>27. januar</strong> <br /> <br /> <br />10.00-10.15  Velkommen og introduktion til kurset <br /> <br />10.15- 15.15 Lunge cancer (incl frokost og pauser), BGS <br /> <br />15.15-15.45  Kaffe/te pause <br /> <br />15.45-16.30 Invasive procedurer ved mistanke om lunge cancer (PC) <br /> </div><div><br /> <br /><strong>28. januar</strong> <br /> <br /> <br />08.15 - 9.30  NE tumorer TJ <br /> <br />09.30 - 09.45  Kaffe/te pause <br /> <br />09.45   - 10.45  Lunge cancer  BGS <br /> <br />10.45   - 11.00 Kaffe/te pause <br /> <br />11.00   - 15.00 Non-neoplastiske sygdomme (incl pauser) KEO <br /> <br />15.00-15.30  Kaffe/te pause <br /> <br />15.30-16.15  Onkologisk behandling af lunge cancer (JALA) <br /> <br /> </div><div>  </div><div><strong>29. januar</strong> <br /><br /> <br />08.15 -11.15 Lunge cancer (incl. pauser) BGS <br /> <br />11.15-11.30 Kaffe/te pause <br /> <br />11.30   - 12.30 Mesotheliom (SR) <br /> <br />12. 30 -13.00  Afrunding, frokost   - og farvel og tak for denne gang  <br /> <br /><strong>Undervisere:</strong></div><div> </div><div>KEO= Overl?ge, dr.med. Karen Ege Olsen, Odense Universitets hospital, Patologisk Afd.</div><div>SR: Afdelingsl?ge, PhD,  Sara B. R?rvig Rigshospitalet, Patologiafdelingen</div><div>TJ:  Afdelingsl?ge, PhD,  Thomas Hartvig Jensen, Rigshospitalet, Patologiafdelingen</div><div>PC = Overl?ge dr.med. Paul Clementsen,  lungemedicinsk afd., Roskilde Sygehus</div><div>JALA = Overl?ge, PhD, Jon AL Andersen, Herlev Hospital, Onkologisk afdeling.</div><div>BGS = overl?ge dr.med. Birgit Guldhammer Skov, Rigshospitalet, Patologiafdelingen <br /> </div><br>
00000000-77cb-4bde-aab5-e37ed4fd7931;00000000-4006-4d93-a1e5-03b070ed1911;40;0;Unpublished;This is an unpublished page!<br><br>Try it out
00000000-f033-41fb-b142-1ca790e56e83;00000000-3628-4fae-a9b9-2569758fd7f2;30;1;Introduction;<p><u><strong>Welcome</strong></u></p><p>Welcome to the UKNEQAS interpretative scheme for head and neck cancer. This is the first in a series of interpretative schemes to be offered to participating pathologist for external assessment. The purpose is to ....</p><p>Participation includes ...</p><p>The outcome will be a certificate for each participant, listing the number of correctly assessed cases and an overall score.</p><p>The module is presented in collaboration with professor xx from yy, who has collected the cases.</p>
00000000-9856-421a-882c-eb513a4507cc;00000000-3628-4fae-a9b9-2569758fd7f2;40;1;Timeline;<p><u><strong>Timeline:</strong></u></p><p>Week 41: Library of test cases is made available</p><p>Week 43: Assessment opens and library of assessment cases is made available</p><p>Week 45: Assessment closes - last chance to participate will be November 6th</p><p>Week 46: Certificates are issued and sent to all participants</p><p>Week 47: On November 14th at 2PM, will host a session in which the assessment cases will be discussed</p>
00000000-17F4-4BE2-9BFA-5F03F60062F5;00000000-6984-4FDF-840A-5BD6EE93366E;10;1;Timeline;<p><u><strong>Timeline:</strong></u></p><p>The following is a mock-up of a generic timeline, just for illustration pursoses:</p><p>Week 5: Assessment opens and library of assessment cases is made available</p><p>Week 7: Assessment closes - last chance to participate will be February 19th</p><p>Week 8: Certificates are issued and sent to all participants</p><p>Week 10: On March 10th at 2PM GMT, UK NEQAS will host a session in which the assessment cases will be discussed</p>
00000000-BD80-4BB3-AA90-BA4F74392EB2;00000000-6984-4FDF-840A-5BD6EE93366E;20;1;Instructions;<p>The following is a mock-up of instructions for the module.</p><p><u>Training images</u></p><p>A set of images is provided for training purposes. When opening the gallery, you will see a collection of images for scoring. As a guidance, the expected answer is already listed below each image. You can still provide your own score for each image, and when doing so you will immediately see if your submitted score matches the expected result.</p><p><u>Assessment images</u></p><p>Once you have completed your training, you can start the assessement. A set of images will have to be scored individually as for the training set. When you have scores an image you will be able to see your submitted score on the gallery overview below each image. When you are done with the scoring you can click the 'Submit scores' button to complete your work.&nbsp
00000000-5545-4e6e-b7e0-9420479e812c;00000000-7fcb-42e4-922d-9d001a37023e;10;1;Velkomst;Velkommen til kurset
00000000-dcb7-48d6-9eeb-1fb76a6924e6;00000000-7fcb-42e4-922d-9d001a37023e;30;1;Undervisere;"<ul><li><p class=""Normal tm5""><span class=""tm6"">Anand Loya, overl?ge, klinisk lektor, overl?ge, Patologiafdelingen, Rigshospitalet</span></p></li><li><p class=""Normal tm5""><span class=""tm6"">Flemming Brandt S?rensen, professor, dr. Med, Patologisk Institut, ?rhus</span></p></li><li><p class=""Normal tm5""><span class=""tm6"">Maj-Lis M?ller-Talman, overl?ge, Patologiafdelingen, Rigshospitalet</span></p></li><li><p class=""Normal tm5""><span class=""tm6"">S?ren Daugaard, overl?ge, Patologiafdelingen, Rigshospitalet</span></p></li></ul>"
